foodname,portiondesc
"Cream cheese product, fat free",cup
"Cream cheese product, fat free",tablespoon
"Cream cheese product, fat free",ounce(s)
"Cream cheese product, fat free",brick (8 oz)
"Cheese, processed, Swiss","cup, shredded"
"Cheese, processed, Swiss",slice (.75 oz)
"Cheese, processed, Swiss, low fat","cup, shredded"
"Cheese, processed, Swiss, low fat",slice (.75 oz)
"Cheese, processed cheese food",slice (.75 oz)
"Cheese, processed, with vegetables","cup, shredded"
"Cheese, processed, with vegetables",slice (.75 oz)
"Cheese, processed, with wine","cup, shredded"
"Cheese spread, American or Cheddar",slice (.8 oz)
"Cheese spread, Swiss cheese ",tablespoon
"Cheese spread, cream cheese, regular",tablespoon
"Cheese spread, cream cheese, light ",tablespoon
"Cheese spread, pressurized can",tablespoon
American or cheddar imitation cheese,slice (.75 oz)
"American or cheddar imitation cheese, low cholesterol",ounce
Imitation mozzarella cheese,"cup, shredded"
Imitation mozzarella cheese,slice (1 oz)
"Cheese, cottage cheese with gelatin ",cup
"Cheese, cottage cheese with gelatin and fruit",cup
"Cheese, cottage cheese with gelatin and vegetables",cup
Cheese ball with nuts,tablespoon
"Dip, cream cheese base",tablespoon
"Dip, low fat cream cheese base",tablespoon
"Dip, cream cheese base with low-calorie mayonnaise",tablespoon
"Shrimp dip, cream cheese base",cup
"Shrimp dip, cream cheese base",tablespoon
Cheese dip with chili pepper,tablespoon
"Cheese pizza, topping only","topping from 1 piece (1/8 of 12"" pizza)"
Topping from vegetable pizza,"topping from 1 piece (1/8 of 12"" pizza)"
"Meat pizza, topping only","topping from 1 piece (1/8 of 12"" pizza)"
"Meat and vegetable pizza, topping only","topping from 1 piece (1/8 of 12"" pizza)"
Cheese fondue,cup
Cheese souffle,cup
Welsh rarebit,cup
"Cheese sandwich, American cheese",sandwich
"Cheese sandwich, grilled",sandwich
"Cheese sandwich, swiss and american cheese and lettuce",sandwich
"Cheese sandwich, cheese spread",sandwich
Cheese sauce,tablespoon
"Cheese sauce, with low fat cheese",tablespoon
Alfredo sauce,cup
"Cheese nuggets, breaded, baked or fried",cheese nugget
"Cheese nuggets, breaded, baked or fried","piece or stick (4"" x 1"" x 3/4"")"
Cheddar cheese soup,cup
"Beer soup, made with milk",cup
"Steak, beef, grilled or broiled, lean and fat eaten",medium steak
"Steak, beef, grilled or broiled, lean only eaten",medium steak
"Steak, beef, fried, lean and fat eaten",medium steak
"Steak, beef, fried, lean only eaten",medium steak
"Steak, beef, fried or baked, breaded, lean and fat eaten",medium steak
"Steak, beef, fried or baked, breaded, lean only eaten",medium steak
"Steak, beef, fried, battered lean and fat eaten (country fried, chicken fried)",medium steak
"Steak, beef, fried, battered, lean only eaten (country fried, chicken fried)",medium steak
"Steak, beef, braised, lean and fat eaten",medium steak
"Steak, beef, braised, lean only eaten",medium steak
"Beef, shortribs, cooked, lean and fat eaten",medium rib
"Beef, shortribs, cooked, lean only eaten",medium rib
"Beef, shortribs, barbecued, with sauce, lean and fat eaten",medium rib
"Beef, shortribs, barbecued, with sauce, lean only eaten",medium rib
"Beef, roast, lean and fat eaten (prime rib, rib roast)",medium slice
"Beef, roast, lean only eaten (prime rib, rib roast)",medium slice
"Beef, pot roast, braised or boiled, lean and fat eaten",medium slice
"Beef, pot roast, braised or boiled, lean only eaten",medium slice
"Corned beef, cooked, lean and fat eaten",medium slice
"Corned beef, cooked, lean only eaten",medium slice
"Corned beef, canned, ready-to-eat","ounce(s), boneless"
"Corned beef, canned, ready-to-eat",slice
"Beef, brisket, cooked, lean and fat eaten",medium slice
"Beef, brisket, cooked, lean only eaten",medium slice
"Beef, sandwich steak (Steak-umms)",sandwich steak
"Ground beef, patty, breaded, cooked",medium patty (3-1/2 per pound of raw meat)
"Ground beef, patty, breaded, cooked",quarter pound patty (4 per pound of raw meat)
"Ground beef, patty, fast food, cooked ",medium meatball
"Ground beef, patty, fast food, cooked ",medium patty (3-1/2 per pound of raw meat)
"Ground beef, patty, fast food, cooked ",quarter pound patty (4 per pound of raw meat)
"Ground beef, less than 80% lean, cooked ",medium meatball
"Ground beef, less than 80% lean, cooked ",medium patty (3-1/2 per pound of raw meat)
"Ground beef, less than 80% lean, cooked ",quarter pound patty (4 per pound of raw meat)
"Ground beef, 80% - 84% lean, cooked (ground chuck)",medium meatball
"Ground beef, 80% - 84% lean, cooked (ground chuck)",medium patty (3-1/2 per pound of raw meat)
"Ground beef, 80% - 84% lean, cooked (ground chuck)",quarter pound patty (4 per pound of raw meat)
"Ground beef, 85% - 89% lean, cooked (ground sirloin, ground round)  ",medium meatball
"Ground beef, 85% - 89% lean, cooked (ground sirloin, ground round)  ",medium patty (3-1/2 per pound of raw meat)
"Ground beef, 85% - 89% lean, cooked (ground sirloin, ground round)  ",quarter pound patty (4 per pound of raw meat)
"Ground beef, 90% - 94% lean, cooked",medium meatball
"Ground beef, 90% - 94% lean, cooked",medium patty (3-1/2 per pound of raw meat)
"Ground beef, 90% - 94% lean, cooked",quarter pound patty (4 per pound of raw meat)
"Ground beef, 95% or more lean, cooked",medium meatball
"Ground beef, 95% or more lean, cooked",medium patty (3-1/2 per pound of raw meat)
"Ground beef, 95% or more lean, cooked",quarter pound patty (4 per pound of raw meat)
"Ground beef, with textured vegetable protein (TVP), cooked",medium patty
"Ground beef, with textured vegetable protein (TVP), cooked",quarter pound patty (4 per pound of raw meat)
"Beef, bacon, cooked","slice, cooked"
"Beef, dried, chipped, uncooked","ounce(s), uncooked"
"Beef, dried, chipped, cooked in fat","cup, diced"
"Beef jerky (Slim Jim, Big Jerk)",Big Jerk
"Beef jerky (Slim Jim, Big Jerk)",Super Jerk
"Beef jerky (Slim Jim, Big Jerk)",Giant Jerk
"Beef jerky (Slim Jim, Big Jerk)",Slim Jim
"Beef, pastrami, smoked, spiced","cup, sliced"
"Beef, pastrami, smoked, spiced",slice (1 oz)
"Pork, ground or patty, cooked",patty
"Pork, ground or patty, breaded, cooked",patty
"Pork, chop, broiled, baked, or grilled, lean and fat eaten",medium chop (3 per pound)
"Pork, chop, broiled, baked, or grilled, lean only eaten",medium chop (3 per pound)
"Pork, chop, broiled or baked, breaded or floured, lean and fat eaten",medium chop (3 per pound)
"Pork, chop, broiled or baked, breaded or floured, lean only eaten",medium chop (3 per pound)
"Pork, chop, fried, lean and fat eaten",medium chop (3 per pound)
"Pork, chop, fried, lean only eaten",medium chop (3 per pound)
"Pork, chop, fried, breaded or floured, lean and fat eaten",medium chop (3 per pound)
"Pork, chop, fried, breaded or floured, lean only eaten",medium chop (3 per pound)
"Pork, chop, fried, battered, lean and fat eaten",medium chop (3 per pound)
"Pork, chop, fried, battered, lean only eaten",medium chop (3 per pound)
"Pork, chop, stewed, lean and fat eaten",medium chop (3 per pound)
"Pork, chop, stewed, lean only eaten",medium chop (3 per pound)
"Pork, chop, smoked or cured, cooked, lean and fat eaten",medium chop (3 per pound)
"Pork, chop, smoked or cured, cooked, lean only eaten",medium chop (3 per pound)
"Pork, cutlet or steak, broiled, baked, or grilled, lean and fat eaten",medium steak/cutlet
"Pork, cutlet or steak, broiled, baked, or grilled, lean only eaten",medium steak/cutlet
"Pork, cutlet or steak, fried, lean and fat eaten",medium steak/cutlet
"Pork, cutlet or steak, fried, lean only eaten",medium steak/cutlet
"Pork, cutlet or steak, fried, breaded or floured, lean and fat eaten",medium steak/cutlet
"Pork, cutlet or steak, fried, breaded or floured, lean only eaten",medium steak/cutlet
"Ham, smoked or cured, fried, lean and fat eaten",medium slice
"Ham, smoked or cured, fried, lean only eaten",medium slice
"Ham, fresh, cooked, lean and fat eaten",medium slice
"Ham, fresh, cooked, lean only eaten",medium slice
"Ham, smoked or cured, cooked, lean and fat eaten",medium slice
"Ham, smoked or cured, cooked, lean only eaten",medium slice
"Ham, smoked or cured, low sodium, cooked, lean and fat eaten",medium slice
"Ham, smoked or cured, low sodium, cooked, lean only eaten",medium slice
Prosciutto,slice
"Ham, smoked or cured, canned, lean and fat eaten",medium slice
"Ham, smoked or cured, canned, lean only eaten",medium slice
"Pork roast, loin, cooked, lean and fat eaten",medium slice
"Pork roast, loin, cooked, lean only eaten",medium slice
"Fried pork chunks, Puerto Rican style (Carne de cerdo frita, masitas fritas)","piece (2-1/2"" x 2"" x 1"")"
"Pork roast, shoulder, cooked, lean and fat eaten",medium slice
"Pork roast, shoulder, cooked, lean only eaten",medium slice
"Pork roast, smoked or cured, cooked, lean and fat eaten",medium slice
"Pork roast, smoked or cured, cooked, lean only eaten",medium slice
"Pork roll, cured, fried",slice (1 oz)
"Canadian bacon, cooked",slice (.8 oz)
"Pork bacon, smoked or cured, cooked",medium slice
"Side pork (uncured bacon), cooked",medium slice
"Bacon, pork, lower sodium, cooked",medium slice
"Pork bacon, formed breakfast strips (Sizzlean), cooked",strip
"Salt pork, cooked",1 inch piece
"Salt pork, cooked","slice (2-1/4"" x 1-3/4"" x 1/4"")"
"Salt pork, cooked","slice (4"" x 1-3/4"" x 1/2"")"
"Fat back, cooked",1 inch piece
"Fat back, cooked","slice (2-1/4"" x 1-3/4"" x 1/4"")"
"Fat back, cooked","slice (4"" x 1-3/4"" x 1/2"")"
"Pork, spareribs, cooked, lean and fat eaten",medium rib
"Pork, spareribs, cooked, lean only eaten",medium rib
"Pork, spareribs, barbecued, with sauce, lean and fat eaten",medium rib
"Pork, spareribs, barbecued, with sauce, lean only eaten",medium rib
"Pork, cracklings, cooked",cup
"Pork, pig's ears, tail, head, snout, miscellaneous parts, cooked",ear
"Pork, pig's ears, tail, head, snout, miscellaneous parts, cooked",pig tail
"Pork, neck bones, cooked","cup cooked, no bone"
"Pork, neck bones, cooked",neckbone
"Pork, pig's feet, cooked",foot
"Pork, pig's feet, pickled",foot
"Pork, pig's hocks, cooked",ham hock
"Pork, skin, deep-fried (pork rinds)",cup
"Pork, skin, deep-fried (pork rinds)",portion (5 rinds)
"Lamb, loin chop, cooked, lean and fat eaten",medium chop (about 3-1/4 per pound)
"Lamb, loin chop, cooked, lean only eaten",medium chop (about 3-1/4 per pound)
"Lamb, shoulder chop, cooked, lean and fat eaten",medium chop ( 2-1/4 per pound)
"Lamb, shoulder chop, cooked, lean only eaten",medium chop ( 2-1/4 per pound)
"Lamb, shoulder, cooked, lean and fat eaten","medium slice (3"" across x 1/4"" thick)"
"Lamb, shoulder, cooked, lean only eaten","medium slice (3"" across x 1/4"" thick)"
"Lamb, ribs, cooked, lean only eaten (rack of lamb)",rib
"Lamb, ribs, cooked, lean and fat eaten (rack of lamb)",rib
"Lamb hocks (shanks), cooked","ounce(s) with bone, cooked"
"Lamb, roast, cooked, lean and fat eaten (leg of lamb)","medium slice (3"" across x 1/4"" thick)"
"Lamb, roast, cooked, lean only eaten (leg of lamb)","medium slice (3"" across x 1/4"" thick)"
"Lamb, ground or patty, cooked",patty (4 per pound)
"Goat, baked","cup, cooked, diced"
"Goat, head, cooked","cup, cooked, diced"
"Goat, ribs, cooked",rib
"Veal, chop, fried, lean and fat eaten",medium (2-1/2 per pound)
"Veal, chop, fried, lean and fat eaten","medium, breaded (2-1/2 per pound)"
"Veal, chop, fried, lean only eaten",medium (2-1/2 per pound)
"Veal, chop, fried, lean only eaten","medium, breaded (2-1/2 per pound)"
"Veal, chop, broiled, lean and fat eaten",medium (2-1/2 per pound)
"Veal, chop, broiled, lean only eaten",medium (2-1/2 per pound)
"Veal, cutlet, (veal steak), broiled, lean and fat eaten",cutlet or steak
"Veal, cutlet, (veal steak), broiled, lean only eaten",cutlet or steak
"Veal, cutlet, (veal steak), fried, lean and fat eaten",cutlet or steak
"Veal cutlet, (veal steak), fried, lean only eaten",cutlet or steak
"Veal, roasted, lean and fat eaten","medium slice (4-1/2"" x 2-1/2"" x 1/4"")"
"Veal, roasted, lean only eaten","medium slice (4-1/2"" x 2-1/2"" x 1/4"")"
"Veal, ground or patty, cooked",medium patty (4 per pound)
"Mock chicken legs, cooked",ounce(s) cooked
"Veal patty, breaded, cooked",medium patty (4 per pound)
"Rabbit, domestic, cooked","thigh, cooked"
"Rabbit, wild, cooked",cottontail rabbit
"Rabbit, wild, cooked",leg
"Rabbit, wild, cooked",snowshoe rabbit
"Venison, (deer), roasted","cup, cooked, diced"
"Venison, (deer), steak, breaded or floured, cooked",deer steak
"Venison, (deer), steak, breaded or floured, cooked",elk steak
"Venison, (deer), jerky","strip (4"" long)"
Deer bologna,"slice (2"" across x 1/4"" thick)"
"Venison, (deer), chop, cooked",chop
"Venison, (deer), ribs, cooked","ounce(s) with bone, cooked"
"Chicken, breast, baked, skin eaten","medium slice (2"" x 1-1/2"" x 1/4"")"
"Chicken, breast, baked, skin eaten",medium breast
"Chicken, breast, baked, skin not eaten","medium slice (2"" x 1-1/2"" x 1/4"")"
"Chicken, breast, baked, skin not eaten",medium breast
"Chicken, breast, stewed, skin eaten","medium slice (2"" x 1-1/2"" x 1/4"")"
"Chicken, breast, stewed, skin eaten",medium breast
"Chicken, breast, stewed, skin not eaten","medium slice (2"" x 1-1/2"" x 1/4"")"
"Chicken, breast, stewed, skin not eaten",medium breast
"Chicken, breast, fried in shortening, skin eaten","medium slice (2"" x 1-1/2"" x 1/4"")"
"Chicken, breast, fried in shortening, skin eaten",medium breast
"Chicken, breast, fried in oil, skin eaten","medium slice (2"" x 1-1/2"" x 1/4"")"
"Chicken, breast, fried in oil, skin eaten",medium breast
"Chicken, breast, fried in shortening, skin not eaten","medium slice (2"" x 1-1/2"" x 1/4"")"
"Chicken, breast, fried in shortening, skin not eaten",medium breast
"Chicken, breast, fried in margarine, skin not eaten","medium slice (2"" x 1-1/2"" x 1/4"")"
"Chicken, breast, fried in margarine, skin not eaten",medium breast
"Chicken, breast, fried in oil, skin not eaten","medium slice (2"" x 1-1/2"" x 1/4"")"
"Chicken, breast, fried in oil, skin not eaten",medium breast
"Chicken, breast, fried in butter, skin not eaten","medium slice (2"" x 1-1/2"" x 1/4"")"
"Chicken, breast, fried in butter, skin not eaten",medium breast
"Chicken, breast, fried in shortening, breaded, skin/breading eaten","medium slice (2"" x 1-1/2"" x 1/4"")"
"Chicken, breast, fried in shortening, breaded, skin/breading eaten",medium breast
"Chicken, breast, fried in oil, breaded, skin/breading eaten","medium slice (2"" x 1-1/2"" x 1/4"")"
"Chicken, breast, fried in oil, breaded, skin/breading eaten",medium breast
"Chicken, breast, baked, breaded, skin/breading eaten ","medium slice (2"" x 1-1/2"" x 1/4"")"
"Chicken, breast, baked, breaded, skin/breading eaten ",medium breast
"Chicken, breast, fried in shortening, breaded, skin/breading not eaten","medium slice (2"" x 1-1/2"" x 1/4"")"
"Chicken, breast, fried in shortening, breaded, skin/breading not eaten",medium breast
"Chicken, breast, fried in oil, breaded, skin/breading not eaten","medium slice (2"" x 1-1/2"" x 1/4"")"
"Chicken, breast, fried in oil, breaded, skin/breading not eaten",medium breast
"Chicken, breast, baked, breaded, skin/breading not eaten","medium slice (2"" x 1-1/2"" x 1/4"")"
"Chicken, breast, baked, breaded, skin/breading not eaten",medium breast
"Chicken, breast, boneless, skinless, fried in shortening, breaded, breading eaten ",medium breast
"Chicken, breast, boneless, skinless, baked, breaded, breading eaten ",medium breast
"Chicken, breast, boneless, skinless, fried in oil, breaded, breading eaten",medium breast
"Chicken, breast, boneless, skinless, fried in margarine, breaded, breading eaten",medium breast
"Chicken, breast, boneless, skinless, fried in butter, breaded, breading eaten",medium breast
